Local;População no último censo
São Gonçalo;" 999728"
Duque de Caxias;" 855048"
Nova Iguaçu;" 796257"
Niterói;" 487562"
Belford Roxo;" 469332"
Campos dos Goytacazes;" 463731"
São João de Meriti;" 458673"
Petrópolis;" 295917"
Volta Redonda;" 257803"
Magé;" 227322"
Itaboraí;" 218008"
Macaé;" 206728"
Cabo Frio;" 186227"
Nova Friburgo;" 182082"
Barra Mansa;" 177813"
Angra dos Reis;" 169511"
Mesquita;" 168376"
Teresópolis;" 163746"
Nilópolis;" 157425"
Queimados;" 137962"
Maricá;" 127461"
Resende;" 119769"
Araruama;" 112008"
Itaguaí;" 109091"
Rio das Ostras;" 105676"
Itaperuna;" 95841"
Japeri;" 95492"
Barra do Piraí;" 94778"
São Pedro da Aldeia;" 87875"
Seropédica;" 78186"
Três Rios;" 77432"
Saquarema;" 74234"
Valença;" 71843"
Rio Bonito;" 55551"
Cachoeiras de Macacu;" 54273"
Guapimirim;" 51483"
Paracambi;" 47124"
São Francisco de Itabapoana;" 41354"
Paraíba do Sul;" 41084"
Santo Antônio de Pádua;" 40589"
São Fidélis;" 37543"
Paraty;" 37533"
Mangaratiba;" 36456"
Bom Jesus do Itabapoana;" 35411"
Casimiro de Abreu;" 35347"
Vassouras;" 34410"
São João da Barra;" 32747"
Tanguá;" 30732"
Itatiaia;" 28783"
Arraial do Cabo;" 27715"
Armação dos Búzios;" 27560"
Miracema;" 26843"
Paty do Alferes;" 26359"
Piraí;" 26314"
Bom Jardim;" 25333"
Miguel Pereira;" 24642"
Itaocara;" 22899"
Iguaba Grande;" 22851"
Pinheiral;" 22719"
Silva Jardim;" 21349"
Conceição de Macabu;" 21211"
Cordeiro;" 20430"
São José do Vale do Rio Preto;" 20251"
Quissamã;" 20242"
Cantagalo;" 19830"
Mendes;" 17935"
Porciúncula;" 17760"
Sapucaia;" 17525"
Carmo;" 17434"
Rio Claro;" 17425"
Porto Real;" 16592"
Natividade;" 15082"
Sumidouro;" 14900"
Cambuci;" 14827"
Italva;" 14063"
Carapebus;" 13359"
Engenheiro Paulo de Frontin;" 13237"
Quatis;" 12793"
Cardoso Moreira;" 12600"
Areal;" 11423"
Duas Barras;" 10930"
Santa Maria Madalena;" 10321"
Trajano de Moraes;" 10289"
Aperibé;" 10213"
Varre-Sai;" 9475"
São Sebastião do Alto;" 8895"
Rio das Flores;" 8561"
Comendador Levy Gasparian;" 8180"
Laje do Muriaé;" 7487"
São José de Ubá;" 7003"
Macuco;" 5269"
